time,acc x,acc y, acc z,gyro x, gyro y,gyro z
40534,-26,-46,990,140,280,-140
40633,-26,-46,990,70,280,-140
40733,-27,-47,989,70,210,-140
40834,-27,-47,989,70,210,-140
40933,-27,-46,990,70,210,-140
41034,-26,-46,990,140,210,-140
41134,-26,-46,990,70,210,-140
41233,-27,-46,989,140,140,-210
41334,-27,-46,989,70,280,-140
41433,-26,-46,988,140,210,-140
41533,-27,-46,990,70,350,-140
41634,-26,-46,989,70,210,-140
41733,-27,-47,989,0,210,-140
41833,-26,-46,990,140,140,-140
41934,-26,-46,989,70,280,-210
42033,-27,-47,989,70,140,-140
42134,-27,-46,990,70,210,-140
42234,-26,-46,989,70,140,-140
42333,-26,-46,990,140,280,-210
42434,-27,-46,990,70,210,-140
42533,-26,-46,990,70,210,-140
42633,-26,-46,990,70,210,-140
42734,-27,-47,990,140,210,-140
42833,-26,-46,989,70,210,-210
42933,-27,-46,989,70,210,-140
43034,-27,-47,989,70,280,-140
43133,-27,-46,990,70,280,-140
43233,-27,-46,990,0,210,-140
43334,-27,-47,989,0,210,-140
43433,-26,-47,988,140,210,-140
43534,-27,-46,989,140,210,-140
43634,-26,-46,990,140,140,-210
43733,-27,-46,989,70,210,-140
43834,-26,-47,990,70,210,-140
43933,-27,-45,989,140,210,-140
44033,-26,-46,989,70,280,-140
44134,-26,-46,988,70,210,-210
44233,-27,-46,990,70,210,-140
44333,-27,-46,989,70,210,-140
44434,-26,-45,989,70,280,-140
44533,-26,-46,990,70,210,-140
44634,-26,-46,989,70,210,-210
44734,-27,-46,989,140,280,-140
44833,-26,-46,989,70,140,-210
44934,-27,-46,990,70,280,-140
45033,-26,-46,990,140,140,-140
45133,-26,-46,989,70,210,-210
45234,-26,-46,990,140,140,-140
45333,-27,-46,990,70,280,-140
45433,-26,-46,989,140,140,-210
45534,-26,-47,989,140,280,-140
45633,-26,-47,989,70,210,-140
45734,-27,-46,990,70,210,-140
45834,-27,-46,990,140,140,-210
45933,-27,-46,990,70,280,-210
46034,-27,-46,989,140,140,-70
46133,-27,-47,990,70,210,-70
46233,-26,-46,989,140,280,-210
46334,-26,-47,990,140,210,-140
46433,-27,-46,988,70,210,-140
46533,-27,-46,989,70,210,-140
46634,-26,-46,990,70,210,-210
46733,-27,-46,988,70,140,-210
46833,-26,-46,990,140,210,-140
46934,-27,-46,990,70,280,-140
47033,-26,-46,990,70,210,-210
47134,-27,-46,989,70,210,-140
47233,-27,-46,990,140,140,-140
47333,-27,-46,989,140,140,-210
47434,-27,-46,989,140,210,-140
47533,-27,-46,988,70,210,-140
47633,-27,-46,990,140,140,-140
47734,-27,-46,988,70,210,-140
47833,-27,-46,989,140,210,-140
47933,-26,-47,989,70,210,-140
48034,-26,-47,988,70,140,-140
48133,-26,-46,990,70,210,-140
48234,-26,-46,990,140,140,-210
48334,-27,-46,989,70,140,-210
48433,-27,-46,988,140,210,-140
48534,-26,-47,989,0,350,-140
48634,-26,-45,988,210,140,-140
48733,-26,-46,990,140,210,-140
48834,-26,-46,990,70,140,-140
48933,-27,-46,991,70,210,-140
49033,-26,-47,989,70,210,-140
49134,-27,-46,988,140,280,-140
49233,-28,-47,989,140,210,-140
49333,-27,-47,990,70,210,-140
49434,-27,-47,990,140,140,-140
49533,-27,-46,990,70,350,-140
49634,-26,-46,990,70,140,-140
49734,-27,-47,990,70,210,-210
49833,-26,-46,989,140,140,-140
49934,-26,-46,990,70,280,-140
50034,-27,-46,991,140,210,-140
50133,-27,-47,990,70,140,-140
50234,-26,-46,990,140,210,-140
50333,-26,-47,989,70,280,-140
50433,-26,-46,989,140,210,-210
50534,-27,-47,989,140,210,-140
50633,-26,-47,989,70,210,-210
50733,-27,-46,990,70,210,-140
50834,-26,-47,989,70,210,-140
50933,-26,-46,989,70,210,-140
51034,-26,-46,989,140,210,-210
51133,-27,-46,990,70,280,-140
51233,-26,-46,989,140,210,-140
51334,-27,-46,991,70,140,-140
51433,-26,-47,990,70,210,-140
51533,-26,-46,988,140,140,-140
51634,-27,-46,989,70,280,-140
51733,-27,-46,988,140,210,-140
51833,-27,-46,988,140,280,-140
51934,-26,-47,989,140,140,-140
52033,-27,-46,989,0,280,-140
52134,-26,-46,989,140,210,-140
52234,-27,-46,990,70,280,-140
52333,-26,-47,989,140,140,-70
52434,-26,-46,990,140,350,-140
52533,-27,-46,989,70,210,-140
52633,-27,-46,991,140,280,-140
52734,-27,-47,990,70,210,-140
